meta_award_label,meta_award_label_details,event_year,event_ref,event_alternative,event_type,,place_city,place_country,artwork_ref,artwork_alternative,comments
Mention spéciale du jury ,,2004,,Premières fois,Film Festival,,Grasse,France,,A l'ami imaginé,Pas dans la base de données
2 ème prix Création vidéo,,2004,VidéOformes - Clermont-Ferrand (FR) |code:1027,,Film Festival,,Clermont-Ferrand,France,,Bufferzone,Pas dans la base de données
Jameson short award,,2003,Festival De Clermont-Ferrand - Clermont-Ferrand (FR) |code:1015,,Film Festival,,Clermont-Ferrand,France,,Chamonix,Pas dans la base de données
"Prix IUP métiers du livre et multisupport, Université Blaise Pascal",,2005,VidéOformes - Clermont-Ferrand (FR) |code:1027,,Film Festival,,Clermont-Ferrand,France,,Compétent dans sa branche ,Pas dans la base de données
Meilleur court-métrage,,2004,,Luso-brésilien,Film Festival,,Santa-Maria da Feira,Portugal,,Copan,Pas dans la base de données
1 er prix ,installations sonores,2005,,Concours international de musique et d'art sonore electroaccoustiques,Multimedia festival,,Bourges,France,,Dropper 01,Pas dans la base de données
Grand Prix,,2006,,Cannes,Film Festival,,Cannes,France,,Flandres,Pas dans la base de données
2 ème prix ,,2005,,Biennale de l'image en mouvement ,Film Festival,,Genève,Suisse,,Japon : un pays lointain,Pas dans la base de données
Grand prix du jury ,,2006,Premiers Plans - Angers (FR) |code:921,,Film Festival,,Angers,France,,La Plaine,Pas dans la base de données
Onda Curta Award,,2006,IndieLisboa - Festival international du cinéma indépendant de Lisbonne - Lisboa (PT) |code:1059,,Film Festival,,Lisbonne,Portugal,,La Plaine,Pas dans la base de données
Best director award,,2006,,International student film festival,Film Festival,,Tel-Aviv,Israël,,La Plaine,Pas dans la base de données
Prix spécial du jury ,,2006,,Caen,Short Film Festival,,Caen,France,,La Plaine,Pas dans la base de données
3 ème prix Cinéfondation,,2005,CinéFondation - Cannes (FR) |code:1062,,Film Festival,,Cannes,France,,La Plaine,Pas dans la base de données
Prix Révélation,,2005,Festival EuropéEn Du Film Court De Brest - Brest (FR) |code:1134,,Short Film Festival,,Brest,France,,La Plaine,Pas dans la base de données
Grand Prix fiction,,2003,,Vila do Conde,Film Festival,,Vila do Conde,Portugal,,Le pont n'est plus là ,Pas dans la base de données
Grand prix du court-métrage,court-métrage,2002,,Entrevues,Film Festival,,Belfort,France,,Paul Johnson après sa fuite équatoriale,Pas dans la base de données
Grand prix nouveau média,,2004,Split Film Festival - Split (HR) |code:1119,,Multimedia festival,,Split,Croatie,,Shimmy shimmy grass,Pas dans la base de données
Silver Scales Award (best direction),,2003,,Novo Mesto,Short Film Festival,,Novo Mesto,Slovénie,,Vide pour l'amour,Pas dans la base de données
Prix Edward Steichen ,,2009,,Prix Edward Steichen,Prix annuel ,Mudam,,Luxembourg,,Awards obtenu par Bertille Bak pour l'ensemble de sa carrère,
Grand Prix du jury ,Court-métrage français ,2023,,Champs Elysées Film Festival,Film Festival,,Paris ,France ,Phalène film de Sarah-Anaïs Desbenoit |code:1922,,
Grand prix du jury,Catégorie court métrage ,2023,,STLOUIS'DOCS,International Documentary Film Festival,,Saint Louis ,Sénégal,Achewiq - Le chant des femmes courage film de Elina Kastler |code:1899,,
Prix du jury ,,2023,,Festival du film de Dakhla,Film Festival,,Dakhla ,Sahara Occidental,75 000 $ film de Moïse Togo |code:1333,,
,Dwarves Category,2023,,Wench Film Festival ,Film Festival,,Mumbai,Inde ,Growing film de Agata Wieczorek |code:1857,,
Honorary mention,New Animation Art ,2023,Ars Electronica - Linz (AT) |code:1100,,Gala ,,Linz ,Autriche ,Le mal des ardents installation de Alice Brygo |code:1932,,
Best experimental   ,Best Southeast Asian Short Film ,2022,,GUFA - Global University Film Awards,,,Hong-Kong,Chine,75 000 $ film de Moïse Togo |code:1333,,
Gold Award,,2022,,GUFA - Global University Film Awards,,,Hong-Kong,Chine ,75 000 $ film de Moïse Togo |code:1333,,
Prix d'encouragement,Compétition Internationale ,2022,Winterthur - Winterthur (CH) |code:1128,,Internation Film Festival,,Winterthur ,Suisse ,Bleu silico film de Julia Borderie & Éloïse Le Gallo |code:1904,,
Best Film Award and Best Cinematography Award,Opus Bonum competition,2022,Jihlava - Jihlava (CZ) |code:1112,,International Documentary Film Festival ,,Ji.hlava,République Tchèque ,7h15 - merle noir film de Judith Auffray |code:1870,,
